Filename,Max,Min,Sum,Mean,StdDev
"y6_r761_c0.ome.tif",0,27,182915,0.174441,1.25033
"y9_r2414_c0.ome.tif",0,65535,2.73823e+09,2611.38,7727.78
"y4_r2158_c0.ome.tif",0,6774,1.61206e+08,153.738,427.171
"y5_r446_c1.ome.tif",0,15,70283,0.0670271,0.321314
"y0_r30_c1.ome.tif",0,48,564305,0.538163,3.00936
"y9_r2440_c1.ome.tif",0,63972,2.16006e+09,2059.99,4987.98
"y4_r2184_c1.ome.tif",0,3,62591,0.0596914,0.324508
"y4_r2239_c0.ome.tif",0,10242,1.31615e+08,125.518,558.097
"y0_r300_c1.ome.tif",0,11,43616,0.0415955,0.247454
"y0_r112_c0.ome.tif",0,34,1.22727e+06,1.17042,2.72678
"y1_r1001_c1.ome.tif",0,45351,2.56065e+06,2.44203,147.943
"y4_r2077_c0.ome.tif",0,13749,1.12719e+08,107.497,506.382
"y9_r2333_c0.ome.tif",0,65535,2.77062e+09,2642.27,7800.76
"y4_r2265_c1.ome.tif",0,3,53983,0.0514822,0.294847
"y6_r680_c0.ome.tif",0,28,259540,0.247517,1.36702
"y9_r2521_c1.ome.tif",0,47158,1.22839e+09,1171.49,3365.69
"y8_r1532_c1.ome.tif",0,20844,1.27777e+09,1218.58,2499.25
"y4_r1825_c0.ome.tif",0,4208,5.68833e+07,54.2481,215.193
"y1_r963_c1.ome.tif",0,63409,5.55412e+07,52.9682,799.351
"y8_r1344_c0.ome.tif",0,41037,1.41428e+09,1348.76,3985.78
"y6_r634_c1.ome.tif",0,21,181821,0.173398,0.764107
"y8_r1370_c1.ome.tif",0,32909,1.95654e+09,1865.91,3848.2
"y4_r1851_c1.ome.tif",0,3,94173,0.0898104,0.382173
"y6_r472_c1.ome.tif",0,21,67410,0.0642872,0.44779
"y0_r298_c1.ome.tif",0,65,578018,0.551241,2.84998
"y1_r937_c0.ome.tif",0,49949,4.36392e+08,416.176,2050.41
"y6_r608_c0.ome.tif",0,52,808356,0.770908,2.85179
"y8_r1506_c0.ome.tif",0,33327,2.9312e+09,2795.41,5678.49
"y2_r1655_c1.ome.tif",0,23,327172,0.312016,0.928841
"y4_r1770_c1.ome.tif",0,3,15071,0.0143728,0.151737
"y6_r527_c0.ome.tif",0,31,419670,0.400229,1.85093
"y4_r1906_c0.ome.tif",0,6614,9.82606e+07,93.7086,383.038
"y1_r856_c0.ome.tif",0,22443,4.2999e+08,410.07,1116.67
